net,length_um
net18,126.86µm
net17,117.17µm
_075_,110.56µm
net15,79.98µm
clknet_2_1__leaf_clk,79.5µm
net9,78.06µm
clknet_2_0__leaf_clk,72.24µm
net13,67.36µm
net16,64.94µm
net14,62.54µm
clknet_0_clk,57.21µm
_083_,53.82µm
clknet_2_2__leaf_clk,51.88µm
_109_,45.38µm
baud_inst.baud_tick,44.74µm
clknet_2_3__leaf_clk,40µm
uart_tx_inst.cnt\[2\],39.84µm
clk,39.7µm
_093_,35.005µm
uart_tx_inst.state\[1\],34.02µm
uart_tx_inst.state\[0\],32.18µm
baud_inst.cnt\[8\],30.16µm
baud_inst.cnt\[11\],27.14µm
_086_,27.02µm
_098_,26.115µm
baud_inst.cnt\[10\],25.94µm
baud_inst.cnt\[4\],25.54µm
baud_inst.cnt\[9\],24.5µm
net33,23.85µm
_082_,23.84µm
_078_,23.74µm
uart_tx_inst.cnt\[1\],22.72µm
baud_inst.cnt\[1\],22.06µm
baud_inst.cnt\[2\],20.82µm
baud_inst.cnt\[3\],19.9µm
uart_tx_inst.data_reg\[0\],19.12µm
_089_,19.04µm
baud_inst.cnt\[7\],18.98µm
net11,18.9µm
_066_,18.32µm
baud_inst.cnt\[0\],18.06µm
_079_,17.3µm
net7,15.92µm
baud_inst.cnt\[6\],15.88µm
baud_inst.cnt\[12\],15.715µm
_091_,14.52µm
_072_,14.34µm
uart_tx_inst.data_reg\[1\],14.26µm
_097_,14.045µm
_108_,13.76µm
_070_,13.6µm
net1,13.56µm
_062_,12.8µm
net10,12.74µm
_068_,12.58µm
net19,12.24µm
_090_,11.48µm
uart_tx_inst.data_reg\[6\],11.28µm
net30,11.04µm
_076_,10.9µm
_104_,10.8µm
data_in[7],10.75µm
_061_,10.73µm
_073_,10.41µm
_103_,10.38µm
baud_inst.cnt\[5\],10.26µm
_094_,10.18µm
_050_,9.44µm
net5,9.36µm
net22,9.36µm
net25,9.3µm
_087_,9.24µm
uart_tx_inst.data_reg\[7\],9.12µm
_034_,9.07µm
net21,9.02µm
net29,9.02µm
net20,8.98µm
_021_,8.89µm
net6,8.76µm
data_in[5],8.69µm
uart_tx_inst.data_reg\[2\],8.66µm
uart_tx_inst.data_reg\[5\],8.48µm
_038_,8.41µm
_069_,8.36µm
_017_,8.345µm
_019_,8.28µm
_015_,8.08µm
_011_,7.94µm
_100_,7.74µm
_044_,7.72µm
net36,7.68µm
_007_,7.52µm
rst,7.33µm
_049_,7.22µm
_000_,7.1µm
_071_,7.1µm
_081_,7.1µm
net4,7.06µm
net26,6.76µm
data_in[1],6.31µm
_106_,6.14µm
_005_,6.02µm
data_in[3],5.97µm
_009_,5.96µm
_016_,5.96µm
_013_,5.925µm
_020_,5.92µm
uart_tx_inst.data_reg\[4\],5.86µm
uart_tx_inst.cnt\[0\],5.82µm
_096_,5.8µm
_026_,5.56µm
_041_,5.53µm
_042_,5.53µm
_067_,5.48µm
en,5.41µm
_080_,5.38µm
_107_,5.38µm
uart_tx_inst.data_reg\[3\],5.36µm
_043_,5.34µm
busy,5.29µm
_084_,5.26µm
_059_,5.02µm
_022_,4.97µm
data_in[2],4.95µm
data_in[6],4.95µm
_058_,4.92µm
_035_,4.85µm
data_in[0],4.61µm
data_in[4],4.61µm
net38,4.56µm
_095_,4.48µm
net8,4.34µm
_045_,4.08µm
uart_tx_inst.state\[2\],4µm
tx,3.93µm
net3,3.68µm
_032_,3.66µm
_056_,3.64µm
_037_,3.61µm
_036_,3.35µm
_047_,3.3µm
_002_,3.2µm
_004_,3.2µm
_010_,3.08µm
net35,3.08µm
_023_,2.96µm
_028_,2.96µm
_031_,2.96µm
_039_,2.96µm
_074_,2.96µm
_105_,2.96µm
net12,2.87µm
_099_,2.86µm
_092_,2.76µm
net27,2.76µm
_077_,2.74µm
_029_,2.69µm
_024_,2.67µm
_001_,2.62µm
uart_tx_inst.state\[3\],2.62µm
_063_,2.5µm
_051_,2.38µm
net2,2.3µm
net23,2.3µm
net28,2.3µm
_012_,2.28µm
_025_,2.23µm
_027_,2.23µm
_030_,2.23µm
_033_,2.23µm
_040_,2.23µm
_048_,2.23µm
_003_,2.18µm
_008_,2.18µm
_014_,2.16µm
_054_,2.16µm
_060_,2.16µm
_101_,2.16µm
_006_,1.84µm
_064_,1.84µm
net24,1.84µm
_057_,1.82µm
_053_,1.7µm
_052_,1.545µm
_018_,1.36µm
_046_,1.36µm
_055_,1.36µm
_088_,1.22µm
_102_,1.14µm
_065_,1.02µm
net31,0.92µm
net32,0.92µm
_085_,0.46µm
net34,0.46µm
net37,0.46µm
